Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived,Title,FamilySize,FamilyType,Child,Mother
2,male,41.0,0,0,15.0458,U,C,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,1,0,14.4542,U,C,0,Mr,2.0,SmallFamily,0.0,0.0
2,female,25.0,1,1,30.0,U,S,1,Miss,3.0,SmallFamily,0.0,0.0
3,male,42.0,0,0,7.65,F,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.225,U,C,0,Mr,1.0,Singletone,0.0,0.0
2,male,32.0,0,0,13.0,U,S,1,Mr,1.0,Singletone,0.0,0.0
3,male,25.0,0,0,7.925,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,19.0,0,0,13.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,16.0,0,0,7.75,U,Q,1,Miss,1.0,Singletone,1.0,0.0
3,female,36.0,0,2,15.9,U,S,1,Mrs,3.0,SmallFamily,0.0,1.0
3,male,41.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,male,26.0,0,0,7.8792,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,2,0,21.6792,U,C,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,39.0,0,2,7.2292,U,C,0,Mr,3.0,SmallFamily,0.0,0.0
1,male,62.0,0,0,26.55,C,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,36.0,0,0,26.2875,E,S,1,Mr,1.0,Singletone,0.0,0.0
3,male,21.0,0,0,7.25,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,17.0,0,0,7.75,U,Q,0,Miss,1.0,Singletone,1.0,0.0
3,female,17.0,1,0,15.5,U,Q,1,Miss,2.0,SmallFamily,1.0,0.0
3,male,33.0,0,0,8.6625,U,C,0,Mr,1.0,Singletone,0.0,0.0
2,male,16.0,0,0,26.0,U,S,0,Mr,1.0,Singletone,1.0,0.0
3,male,28.0,1,0,7.75,U,Q,0,Mr,2.0,SmallFamily,0.0,0.0
2,male,34.0,0,0,13.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,25.0,1,0,7.775,U,S,1,Mr,2.0,SmallFamily,0.0,0.0
1,female,14.0,1,2,120.0,B,S,1,Miss,4.0,SmallFamily,1.0,0.0
3,male,26.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,25.0,0,0,13.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,27.0,1,0,53.1,E,S,1,Mr,2.0,SmallFamily,0.0,0.0
1,female,58.0,0,1,153.4625,C,S,1,Mrs,2.0,SmallFamily,0.0,1.0
3,female,17.0,0,0,7.7875,U,Q,1,Miss,1.0,Singletone,1.0,0.0
3,female,17.0,8,2,69.55,U,S,0,Miss,11.0,LargeFamily,1.0,0.0
3,male,42.0,0,1,8.4042,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,31.0,3,0,18.0,U,S,0,Mr,4.0,SmallFamily,0.0,0.0
2,female,60.0,1,0,26.0,U,S,0,Mrs,2.0,SmallFamily,0.0,0.0
3,male,24.0,2,0,24.15,U,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,7.25,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,female,39.0,1,1,110.8833,C,C,1,Mrs,3.0,SmallFamily,0.0,1.0
3,female,31.0,0,0,7.75,U,Q,0,Miss,1.0,Singletone,0.0,0.0
1,female,58.0,0,1,512.3292,B,C,1,Mrs,2.0,SmallFamily,0.0,1.0
3,male,9.0,1,1,15.9,U,S,1,Master,3.0,SmallFamily,1.0,0.0
3,male,28.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,8.0,1,1,26.0,U,S,1,Miss,3.0,SmallFamily,1.0,0.0
2,male,25.0,0,0,13.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,41.0,0,0,52.0,A,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.25,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,26.0,0,0,7.775,U,S,1,Mr,1.0,Singletone,0.0,0.0
2,female,20.0,2,1,23.0,U,S,1,Miss,4.0,SmallFamily,0.0,0.0
1,male,52.0,1,1,79.65,E,S,0,Mr,3.0,SmallFamily,0.0,0.0
1,male,30.0,0,0,26.0,C,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,10.0,5,2,46.9,U,S,0,Miss,8.0,LargeFamily,1.0,0.0
1,male,54.0,0,1,77.2875,D,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,28.0,1,0,19.9667,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
1,male,21.0,0,1,61.3792,U,C,1,Mr,2.0,SmallFamily,0.0,0.0
3,male,22.0,0,0,9.35,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,17.0,0,0,7.6292,U,Q,0,Miss,1.0,Singletone,1.0,0.0
3,male,25.0,0,0,0.0,U,S,1,Mr,1.0,Singletone,0.0,0.0
2,male,28.0,0,0,10.5,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,female,56.0,0,1,83.1583,C,C,1,Mrs,2.0,SmallFamily,0.0,1.0
3,female,31.0,0,0,7.8542,U,S,0,Miss,1.0,Singletone,0.0,0.0
3,female,21.0,0,0,8.6625,U,S,0,Miss,1.0,Singletone,0.0,0.0
2,male,36.0,0,0,13.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,41.0,2,0,14.1083,U,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,36.0,0,0,0.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,38.0,4,2,7.775,U,S,0,Miss,7.0,LargeFamily,0.0,0.0
3,male,28.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,male,20.0,0,0,7.8542,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,29.0,1,0,26.0,U,S,0,Mrs,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,26.0,0,0,7.925,U,S,1,Miss,1.0,Singletone,0.0,0.0
1,female,16.0,0,0,86.5,B,S,1,Miss,1.0,Singletone,1.0,0.0
3,female,17.0,0,0,7.7333,U,Q,1,Miss,1.0,Singletone,1.0,0.0
2,male,23.0,1,0,10.5,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,22.0,0,0,7.2292,U,C,0,Mr,1.0,Singletone,0.0,0.0
2,male,32.0,0,0,12.875,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,42.0,1,0,52.5542,D,S,1,Mr,2.0,SmallFamily,0.0,0.0
3,male,38.0,0,0,8.6625,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,female,62.0,0,0,80.0,B,C,1,Mrs,1.0,Singletone,0.0,0.0
2,male,25.0,1,2,41.5792,U,C,0,Mr,4.0,SmallFamily,0.0,0.0
3,female,30.0,1,1,24.15,U,S,0,Mrs,3.0,SmallFamily,0.0,1.0
1,female,21.0,0,0,77.9583,D,S,1,Miss,1.0,Singletone,0.0,0.0
2,male,60.0,1,1,39.0,U,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,female,32.0,0,2,15.2458,U,C,1,Mrs,3.0,SmallFamily,0.0,1.0
3,male,3.0,1,1,15.9,U,S,1,Master,3.0,SmallFamily,1.0,0.0
3,male,3.0,4,2,31.3875,U,S,1,Master,7.0,LargeFamily,1.0,0.0
1,male,36.0,0,1,512.3292,B,C,1,Mr,2.0,SmallFamily,0.0,0.0
1,female,19.0,0,0,30.0,B,S,1,Miss,1.0,Singletone,0.0,0.0
3,male,28.0,1,0,15.5,U,Q,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,32.0,0,0,7.775,U,S,1,Mr,1.0,Singletone,0.0,0.0
3,male,20.0,0,0,7.225,U,C,0,Mr,1.0,Singletone,0.0,0.0
3,female,63.0,0,0,9.5875,U,S,1,Mrs,1.0,Singletone,0.0,0.0
2,male,28.0,0,0,26.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,35.0,0,0,512.3292,B,C,1,Mr,1.0,Singletone,0.0,0.0
1,male,55.0,1,1,93.5,B,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,30.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,female,18.0,0,2,79.65,E,S,1,Miss,3.0,SmallFamily,0.0,0.0
3,female,26.0,0,0,7.8542,U,S,1,Miss,1.0,Singletone,0.0,0.0
2,male,27.0,0,0,26.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,37.0,0,1,29.7,C,C,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,1.0,5,2,46.9,U,S,0,Master,8.0,LargeFamily,1.0,0.0
3,male,28.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
